--- System Monitoring --- | Time: 2025-09-28 22:59:49 | CPU Usage: 17.2% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.46 MB | Received: 12183.12 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:50 | CPU Usage: 18.0% | RAM Usage: 42.8% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.46 MB | Received: 12183.12 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:50 | CPU Usage: 18.3% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.46 MB | Received: 12183.12 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:51 | CPU Usage: 19.7% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.46 MB | Received: 12183.12 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:51 | CPU Usage: 23.9% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.46 MB | Received: 12183.12 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:52 | CPU Usage: 22.8% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.47 MB | Received: 12183.12 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:52 | CPU Usage: 36.3% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.47 MB | Received: 12183.12 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:53 | CPU Usage: 49.5% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.47 MB | Received: 12183.12 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:53 | CPU Usage: 36.1% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.47 MB | Received: 12183.12 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:54 | CPU Usage: 31.9% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.47 MB | Received: 12183.13 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:54 | CPU Usage: 28.8% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.47 MB | Received: 12183.13 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:55 | CPU Usage: 29.3% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.47 MB | Received: 12183.13 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:55 | CPU Usage: 34.4% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.50 MB | Received: 12183.13 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:56 | CPU Usage: 24.9% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.52 MB | Received: 12183.14 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:57 | CPU Usage: 20.4% | RAM Usage: 43.0% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.52 MB | Received: 12183.15 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:57 | CPU Usage: 26.0% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.52 MB | Received: 12183.15 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:58 | CPU Usage: 18.5% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.52 MB | Received: 12183.15 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:58 | CPU Usage: 10.4% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.52 MB | Received: 12183.15 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:59 | CPU Usage: 16.0% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.52 MB | Received: 12183.15 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:59 | CPU Usage: 15.0% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.52 MB | Received: 12183.15 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 23:00:00 | CPU Usage: 6.1% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.52 MB | Received: 12183.15 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 23:00:00 | CPU Usage: 5.3% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.52 MB | Received: 12183.15 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 23:00:01 | CPU Usage: 4.5% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.52 MB | Received: 12183.15 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 23:00:01 | CPU Usage: 4.6% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.52 MB | Received: 12183.15 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 23:00:02 | CPU Usage: 16.6% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.52 MB | Received: 12183.15 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 23:00:02 | CPU Usage: 18.8% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.52 MB | Received: 12183.15 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 23:00:03 | CPU Usage: 6.7% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.52 MB | Received: 12183.15 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 23:00:03 | CPU Usage: 11.4% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.52 MB | Received: 12183.15 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 23:00:04 | CPU Usage: 22.4% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.52 MB | Received: 12183.15 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 23:00:04 | CPU Usage: 25.1% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.52 MB | Received: 12183.15 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 23:00:05 | CPU Usage: 21.5% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.52 MB | Received: 12183.15 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 23:00:05 | CPU Usage: 20.0% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.52 MB | Received: 12183.15 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 23:00:06 | CPU Usage: 20.6% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.52 MB | Received: 12183.15 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 23:00:06 | CPU Usage: 17.3% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.52 MB | Received: 12183.15 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 23:00:07 | CPU Usage: 18.1% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.52 MB | Received: 12183.15 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 23:00:07 | CPU Usage: 23.3% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.52 MB | Received: 12183.15 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
